Drug Trials Snapshots | FDA,,,,
Brand Name (Drug Trials Snapshot),Drug Name,Original Date of FDA Approval,FDA Approved Use on Original Approval Date*,Brand Name (Prescribing Information)
ACCRUFER,ferric maltol,"July 25, 2019",Treatment of low iron stores,Accrufer
ADAKVEO,crizanlizumab-tmca,"November 15, 2019",Treatment of vasooclusive crises in patients with sickle cell disease.,Adakveo
ADDYI,flibanserin,"August 18, 2015","Treatment of acquired, generalized hypoactive sexual desire disorder (HSDD) in premenopausal women",Addyi
ADLYXIN,lixisenatide,"July 27, 2016",Improvement of blood sugar control in adults with diabetes mellitus (DM) type 2 when used in addition to diet and exercise,Adlyxin
AEMCOLO,rifamycin,"November 16, 2018",Treatment of traveler's diarrhea in adults,Aemcolo
AIMOVIG,erenumab-aooe,"May 17, 2018",Preventive treatment of migraine in adults,Aimovig
AJOVY,fremanezumab-vfrm,"September 14, 2018",Preventive treatment of migraine in adults,Ajovy
AKLIEF,trifarotene,"October 4, 2019",For the topical treatment of acne vulgaris in patients 9 years of age and older,Aklief
AKYNZEO,fosnetupitant and palonosetron,"April 19, 2018",Prevention of the nausea and vomiting that happens right away or later in adults receiving certain anticancer medicines (chemotherapy),Akynzeo
ALECENSA,alectinib,"December 11, 2015",Treatment of metastatic non-small cell lung cancer,Alecensa
ALIQOPA,copanlisib,"September 14, 2017",Treatment of  adults with follicular lymphoma whose disease has come back after at least two previous treatments.,Aliqopa
ALUNBRIG,brigatinib,"April 28, 2017",Treatment of a type of lung cancer called non-small cell lung cancer (NSCLC) that is advanced (metastatic).,Alunbrig
AMONDYS 45,casimersen,"February 25, 2021",Treatment of a particular type of Duchenne muscular dystrophy (DMD). It is to be used only in patients who have a specific mutation of the dystrophin gene.,Amondys 45
ANNOVERA,segesterone acetate and ethinyl estradiol vaginal system,"August 10, 2018",pregnancy prevention in women,Annovera
ANTHIM,obiltoxaximab,"March 18, 2016",Treatment of inhalational anthrax,ANTHIM
ARISTADA,aripiprazole laurixil,"October 5, 2015",Treatment of schizophrenia,Aristada
ARTESUNATE, ,"May 26, 2020",Treatment on severe malaria,Artesunate
ASPARLAS,calaspargase pegol-mknl,"December 20, 2018",Treatment of acute lymphoblastic leukemia (ALL),Asparlas
AUSTEDO,deutetrabenazine,"April 3, 2017",Treatment of chorea in patients with Huntington’s disease.,Austedo
AVYCAZ,ceftazidime-avibactam,"February 25, 2015",Treatment of complicated intra-abdominal infection (abbreviated as cIAI) ,Avycaz
AVYCAZ,ceftazidime-avibactam,"February 25, 2015",Treatment of complicated urinary tract infection (abbreviated as cUTI),Avycaz
AXUMIN,fluciclovine F 18,"May 27, 2016",Detection of prostate cancer recurrence,Axumin
AYVAKIT,avapritinib,"January 9, 2020",Treatment of adults with certain gastrointestinal stromal tumors,Ayvakit
AZSTARYS,serdexmethylphenidate and dexmethylphenidate,"May 7, 2021",To treat attention deficit hyperactivity disorder,Azstarys
BALVERSA,erdafitinib,"April 12, 2019",For the treatment of urothelial carcinoma (a type of bladder and urinary tract cancer),Balversa
BARHEMSYS,amisulpride,"February 26, 2020",Treatment of post-operative nausea and vomiting,Barhemsys
BAVENCIO,avelumab,"March 23, 2017",Treatment of Merkel cell carcinoma,Bavencio
BAXDELA,delafloxacin,"June 19, 2017",Treatment of adult patients with bacterial skin infections.,Baxdela
BENZNIDAZOLE,Benznidazole,"August 29, 2017",Treatment of Chagas disease in children 2 to 12 years of age.,Benznidazole
BEOVU,brolucizumab-dbll,"October 7, 2019",Treatment of wet age-related macular degeneration,Beovu
BESPONSA,inotuzumab ozogamicin,"August 17, 2017",Treatment of  adults with B-cell acute lymphoblastic leukemia (ALL).,Besponsa
BEVYXXA,betrixaban,"June 23, 2017",Prevention of venous thromboembolism (VTE),Bevyxxa
BIKTARVY,bictegravir/emtricitabine/tenofovir alafenamide,"February 7, 2018",Treatment of human immunodeficiency virus 1 (HIV-1) infection in adults.,Biktarvy
BLENREP,belantamab mafodotin-blmf,"August 5, 2020",Treatment of multiple myeloma.  ,Blenrep
BRAFTOVI,encorafenib,"June 27, 2018",Treatment of  melanoma (a type of skin cancer)  when used with another drug binimetinib  ,Bractovi
BREXAFEMME,ibrexafungerp,"June 1, 2021",To treat vulvovaginal candidiasis,Brexafemme
BRIDION ,sugammadex ,"December 15, 2015  ",Reversal of the effects of certain neuromuscular blocking agents ,Bridion 
BRINEURA,cerliponase alfa,"April 27, 2017",Slowing loss of walking ability (ambulation) in symptomatic patients with a specific form of Batten disease.,Brineura
BRIVIACT ,brivaracetam ,"February 18, 2016  ",Treatment of partial-onset seizures ,Briviact 
BRUKINSA ,zanubrutinib,"November 14, 2019  ",Treatment of adults with mantle cell lymphoma,Brukinsa 
BYFAVO,remimazolam,"July 2, 2020",Treatment of starting and maintaining sedation in adults undergoing short (less than 30 minutes) procedures.,Byfavo
CABENUVA,cabotegravir and rilpivirine,"January 20, 2021",Treatment of HIV-1 infection.,Cabenuva
CABLIVI ,caplacizumab-yhdp;,"February 06, 2019  ",Treatment of adults with an episode of acquired thrombotic thrombocytopenic purpura (aTTP),Cablivi 
CALQUENCE,acalabrutinib,"October 31, 2017",Treatment of mantle cell lymphoma (MCL),Calquence 
CAPLYTA,lumateperone,"December 20, 2019",Treatment of schizophrenia in adults.,Caplyta
CERIANNA,fluoroestradiol F 18,"May 20, 2020",For the detection of estrogen receptor (ER)-positive lesions in patients with recurrent or metastatic breast cancer.,Cerianna
CHOLBAM ,cholic acid,"March 17, 2015",Treatment of bile acid synthesis disorders due to single enzyme defects ,Cholbam 
CHOLBAM ,cholic acid,"March 17, 2015","Treatment of peroxisomal disorders, including Zellweger spectrum disorders ",Cholbam
CIBINQO,abrocitinib,"January 14, 2022","Treatment of adults with refractory, moderate-to-severe atopic dermatitis",Cibinqo
CINQUAIR ,reslizumab,"March 23, 2016",Treatment of a specific type of severe asthma (called eosinophilic phenotype asthma),Cinquair
COPIKTRA,duvelisib,"September 24, 2018","Treatment of chronic lymphocytic leukemia (CLL), small lymphocytic lymphoma (SLL), and follicular lymphoma (FL)",Copiktra
CORLANOR ,ivabradine,"April 15, 2015",Reduce hospitalization from worsening heart failure.,Corlanor
COSELA,trilaciclib,"February 12, 2021",Decrease the rate of bone marrow suppression (myelosuppression) resulting from chemotherapy in adult patients when given prior to certain chemotherapy drugs (containing platinum/etoposide or topotecan) for a type of lung cancer (extensive stage-small cell lung cancer) that is widespread.,Cosela
COSENTYX,secukinumab,"January 21, 2015",Treatment of moderate to severe plaque psoriasis in adults who do not respond well to medication applied directly to the skin,Cosentyx
COTELLIC,(cobimetinib),"November 10, 2015",Part of combination treatment melanoma,Cotellic
CRESEMBA,isavuconazonium sulfate,"March 6, 2015",Treatment of invasive aspergillosis,Cresemba
CRESEMBA,isavuconazonium sulfate,"March 6, 2015",Treatment of invasive mucormycosis,Cresemba
CRYSVITA,burosamab-twza,"April 17, 2018",For the treatment of X-linked hypophosphatemia,Crysvita
DAKLINZA,daclatasvir,"July 24, 2015",Treatment of chronic Hepatitis C genotype 3 infection,DaklinzaExternal Link Disclaimer
DALVANCE,dalbavancin hydrochloride,"May 23, 2014",Treatment of serious bacterial skin infections,Dalvance
DANYELZA,naxitamab-gqgk,"November 25, 2020",Treatment of high-risk neuroblastoma,Danyelza
DARZALEX,daratumumab,"November 16, 2015",Treatment of multiple myeloma,DarzalexExternal Link Disclaimer
DAURISMO,glasdegib,"November 21, 2018",Treatment of adults with newly-diagnosed acute myeloid leukemia (AML).,Daurismo
DAYVIGO,lemborexant,"December 20, 2019",Treatment of adults with insomnia.,Dayvigo
DEFITELIO,defibrotide sodium,"March 30, 2016",Treatment of hepatic veno-occlusive disease (VOD),Defitelio
DETECTNET,copper Cu 64 dotatate,"September 3, 2020",Detection of tumors called somatostatin receptor positive neuro-endocrine tumors (NETs)., 
DIACOMIT,stiripentol,"August 20, 2018",Treatment of seizures in patients with Dravet syndrome,Diacomit
DOJOLVI,triheptanoin,"June 30, 2020",Source of calories and fatty acids for patients with long-chain fatty acid oxidation disorders,Dojolvi
DOPTELET,avatrombopag,"May 21, 2018",Treatment of adults with low platelet count,Doptelet
DUPIXENT,dupilumab,"March 28, 2017",Treatment of moderate to severe atopic dermatitis in adults,Dupixent
EBANGA,ansuvimab-zykl,"December 21, 2020",Treatment of Zaire ebolavirus infection,Ebanga
EGATEN,triclabendazole,"February 13, 2019",Treatment of fasciolasis,Egaten
ELZONRIS,tagraxofusp-erzx,"December 21, 2018",Treatment of blastic plasmacytoid dendritic cell neoplasm (BPDCN,Elzonris
EMFLAZA,deflazacort,"February 9, 2017",Treatment of Duchenne muscular dystrophy (DMD) in patients 5 years of age and older,Emflaza
EMGALITY,galcanezumab-gnim,"September 27, 2018",Preventive treatment of migraine in adults,Emgality
EMPAVELI,pegcetacoplan,"May 14, 2021",Treatment of adults with a disease called paroxysmal nocturnal hemoglobinuria (PNH),Empaveli
EMPLICITI,elotuzumab,"November 30, 2015",Treatment of multiple myeloma,Empliciti
ENHERTU,fam-trastuzumab deruxtecan-nxki,"December 20, 2019",Metastatic HER2-positive breast cancer in adults,Enhertu
ENSPRYNG,satralizumab-mwge,"August 14, 2020",Treatment ofnneuromyelitis optica spectrum disorder (NMOSD),Enspryng
ENTRESTO,sacubitril/valsartan,"July 7, 2015",Treatment of heart failure,Entresto 
